Person,Years of education,Age,Years of experience,GPA,Hobby,Income ($K/year)
1,16,45,8,3.5,soccer,101
2,24,38,10,2.8,biking,126
3,23,45,16,3.0,reading,180
4,17,27,2,4.0,cooking,61
5,0,22,15,1.98,writing,300
6,19,23,0,4.0,tv,25
7,21,33,5,3.7,cooking,124
8,25,55,15,3.87,cycling,225
9,12,19,0,2.99,reading,56
10,20,40,16,3.4,reading,300
11,20,30,4,2.79,writing,120
12,30,59,30,2.91,biking,300
13,16,36,3,4.0,swimming,250
14,13,18,1,3.2,handcraft,59
15,25,58,13,3.1,handcraft,235
16,17,40,10,3.01,running,190
17,11,27,1,2.6,running,100
18,3,43,1,2.5,tv,200
19,28,51,18,3.99,cycling,300
20,10,21,4,2.76,running,150
21,29,58,13,3.1,handcraft,135
22,17,22,10,3.01,running,90
23,2,27,1,2.6,running,100
24,5,39,1,2.5,tv,95
25,27,47,18,3.99,cycling,300
26,11,26,4,2.76,running,50
27,25,48,13,3.1,handcraft,350
28,19,34,10,3.01,running,190
29,14,27,1,2.6,running,100
30,8,28,1,2.5,tv,85
31,28,47,18,3.99,cycling,230
32,9,28,4,2.76,running,25
33,25,38,13,3.1,handcraft,25
34,17,34,10,3.01,running,90
35,16,27,1,2.6,running,100
36,14,30,1,2.5,tv,75
37,18,47,18,3.99,cycling,153
38,10,30,4,2.76,running,250
39,25,30,13,3.1,handcraft,35
40,17,44,10,3.01,running,190
41,17,27,1,2.6,running,200
42,12,35,1,2.5,tv,82
43,8,47,18,3.99,cycling,300
44,10,23,4,2.76,running,75
45,22,38,13,3.1,handcraft,235
46,17,44,10,3.01,running,90
47,18,27,1,2.6,running,100
48,15,29,1,2.5,tv,170
49,28,27,18,3.99,cycling,300
50,15,20,4,2.76,running,82
